"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"DOID:3082","DOID:3082","interstitial lung disease","10/128","254/10312",0.00122236768860398,0.0197480291025577,0.0152688735839655,"KIT/ANXA1/PLAU/MUC5B/TNC/MMP7/SFTPB/DEFB1/MUC5AC/AREG",10
"DOID:8850","DOID:8850","salivary gland cancer","5/128","66/10312",0.00132915948112511,0.0205875682870642,0.0159179924206071,"KIT/CDH3/MUC4/ID1/MMP7",5
"DOID:3117","DOID:3117","hepatobiliary benign neoplasm","4/128","39/10312",0.00133097071456949,0.0205875682870642,0.0159179924206071,"MET/MSLN/MUC4/MUC5AC",4
"DOID:1380","DOID:1380","endometrial cancer","9/128","214/10312",0.00136192437411876,0.0206274795830071,0.0159488512232328,"INHA/KIT/MET/TFF1/ELAPOR1/PAEP/KCNN4/MMP7/MUC5AC",9
"DOID:363","DOID:363","uterine cancer","9/128","219/10312",0.00159826315721402,0.0233762846067304,0.0180741851588996,"INHA/KIT/MET/TFF1/ELAPOR1/PAEP/KCNN4/MMP7/MUC5AC",9
"DOID:3683","DOID:3683","lung benign neoplasm","4/128","41/10312",0.0016077224626362,0.0233762846067304,0.0180741851588996,"ITGA2/ASCL1/PLAT/SFTPB",4
"DOID:1192","DOID:1192","peripheral nervous system neoplasm","13/128","409/10312",0.00167177931280746,0.0237314052809225,0.018348759024126,"ODC1/KIT/ATP1B1/SCNN1A/RET/CX3CL1/ITGA2/ASCL1/ID1/TNC/CRABP2/IGFBP2/TFPI2",13
"DOID:1074","DOID:1074","kidney failure","12/128","360/10312",0.00169743201459143,0.0237314052809225,0.018348759024126,"FGA/CBR1/MET/PCSK2/ANXA1/MSLN/PLAU/LPL/NR4A1/AMBP/FGB/PLAT",12
"DOID:5295","DOID:5295","intestinal disease","13/128","417/10312",0.00198482171592039,0.0267115282952537,0.020652944486593,"KIT/BMP6/FGA/CALCA/RET/ANXA1/PLAU/TFF1/LPL/CYP24A1/MMP7/IL37/AQP3",13
"DOID:0080364","DOID:0080364","malignant adenoma","4/128","44/10312",0.00209430139316294,0.0267115282952537,0.020652944486593,"KIT/MSLN/MUC4/MUC5AC",4
"DOID:3111","DOID:3111","cystadenocarcinoma","4/128","44/10312",0.00209430139316294,0.0267115282952537,0.020652944486593,"KIT/MSLN/MUC4/MUC5AC",4
"DOID:3114","DOID:3114","serous cystadenocarcinoma","4/128","44/10312",0.00209430139316294,0.0267115282952537,0.020652944486593,"KIT/MSLN/MUC4/MUC5AC",4
"DOID:60004","DOID:60004","malignant cystadenoma","4/128","44/10312",0.00209430139316294,0.0267115282952537,0.020652944486593,"KIT/MSLN/MUC4/MUC5AC",4
"DOID:3963","DOID:3963","thyroid gland carcinoma","9/128","231/10312",0.00230154640925515,0.0285092257362218,0.0220428966091978,"KIT/MET/RET/CST6/PLAU/ASCL1/TNC/TFF3/CXCL14",9
"DOID:0050127","DOID:0050127","sinusitis","3/128","22/10312",0.00242096926122746,0.0285092257362218,0.0220428966091978,"PLAU/MUC5B/SCGB3A2",3
"DOID:1352","DOID:1352","paranasal sinus disease","3/128","22/10312",0.00242096926122746,0.0285092257362218,0.0220428966091978,"PLAU/MUC5B/SCGB3A2",3
"DOID:3702","DOID:3702","cervical adenocarcinoma","3/128","22/10312",0.00242096926122746,0.0285092257362218,0.0220428966091978,"MET/TFF1/SPINK1",3
"DOID:10124","DOID:10124","corneal disease","6/128","110/10312",0.002431323240228,0.0285092257362218,0.0220428966091978,"FGA/MUC4/TFF1/MUC5AC/COL17A1/TFF3",6
"DOID:0060074","DOID:0060074","ductal carcinoma in situ","4/128","47/10312",0.00267414831751145,0.0308588226481083,0.0238595689482224,"ANXA1/TFF1/AKR1C3/AREG",4
"DOID:2621","DOID:2621","autonomic nervous system neoplasm","12/128","386/10312",0.0030233413895124,0.0338149106180849,0.026145170882585,"ODC1/KIT/ATP1B1/SCNN1A/RET/CX3CL1/ITGA2/ASCL1/ID1/CRABP2/IGFBP2/TFPI2",12
"DOID:769","DOID:769","neuroblastoma","12/128","386/10312",0.0030233413895124,0.0338149106180849,0.026145170882585,"ODC1/KIT/ATP1B1/SCNN1A/RET/CX3CL1/ITGA2/ASCL1/ID1/CRABP2/IGFBP2/TFPI2",12
"DOID:2152","DOID:2152","ovary epithelial cancer","11/128","338/10312",0.00317749339373529,0.0348869972658269,0.0269740918554283,"KIT/MSLN/PLAU/TFF1/ELAPOR1/PAEP/DPP4/CYP24A1/MMP7/IGFBP2/SPINK1",11
"DOID:3770","DOID:3770","pulmonary fibrosis","8/128","198/10312",0.0032151703119813,0.0348869972658269,0.0269740918554283,"ANXA1/PLAU/MUC5B/MMP7/SFTPB/DEFB1/MUC5AC/AREG",8
"DOID:0060903","DOID:0060903","thrombosis","3/128","25/10312",0.00351904587371938,0.0370774833361448,0.0286677421291556,"ITGA2/PLAU/FGB",3
"DOID:10459","DOID:10459","common cold","3/128","25/10312",0.00351904587371938,0.0370774833361448,0.0286677421291556,"CX3CL1/LPL/SCGB3A2",3
"DOID:8791","DOID:8791","breast carcinoma in situ","4/128","51/10312",0.00360664543371542,0.0374575890044444,0.0289616340090832,"ANXA1/TFF1/AKR1C3/AREG",4
"DOID:10526","DOID:10526","conjunctival pterygium","3/128","26/10312",0.00394231315034488,0.0403670656380384,0.0312111967721892,"TFF1/MUC5AC/TFF3",3
"DOID:5844","DOID:5844","myocardial infarction","13/128","453/10312",0.00405379229842486,0.0409320416799288,0.031648027592966,"FGA/CALCA/PCSK2/FGG/ITGA2/PLAU/LPL/FABP3/FGB/KCNN4/TNC/PLAT/TNNT1",13
"DOID:3083","DOID:3083","chronic obstructive pulmonary disease","10/128","304/10312",0.00451609539776256,0.0449753610160737,0.0347742601644587,"PDE4D/FGA/MET/NNMT/PLAU/MUC5B/SLC16A4/SFTPB/DEFB1/MUC5AC",10
"DOID:2320","DOID:2320","obstructive lung disease","10/128","305/10312",0.00462095713689849,0.0453977816016919,0.0351008692902389,"PDE4D/FGA/MET/NNMT/PLAU/MUC5B/SLC16A4/SFTPB/DEFB1/MUC5AC",10
"DOID:3962","DOID:3962","thyroid gland follicular carcinoma","3/128","28/10312",0.00487853926773056,0.0461293274818572,0.0356664893583027,"RET/PLAU/TFF3",3
"DOID:4531","DOID:4531","mucoepidermoid carcinoma","3/128","28/10312",0.00487853926773056,0.0461293274818572,0.0356664893583027,"CDH3/MUC4/MMP7",3
"DOID:76","DOID:76","stomach disease","5/128","89/10312",0.00492429904983629,0.0461293274818572,0.0356664893583027,"SLC7A2/CALCA/DEFB1/MUC5AC/AREG",5
"DOID:3969","DOID:3969","thyroid gland papillary carcinoma","6/128","127/10312",0.0049492263323038,0.0461293274818572,0.0356664893583027,"MET/RET/CST6/PLAU/TFF3/CXCL14",6
"DOID:3388","DOID:3388","periodontal disease","7/128","169/10312",0.00504466183378672,0.0464236601666196,0.0358940628813073,"ODC1/MET/PLAU/FGB/PLAT/AQP3/DEFB1",7
